Name	Quantity	Avg. Price	LTP	Invested Value	Current Value	Profit/Loss	Profit/Loss %	Todays Profit/Loss	Todays Profit/Loss %
MASTEK 	18600	870.6946	1660.1	16194919.3367	30877860.00	14682940.66	90.66%	-2,41,800	-0.78%
BAJAJHLDNG 	335	4456.1456	10199.0	1492808.7866	3416665.00	1923856.21	128.87%	24,120	0.71%
TSFINV 	5025	72.0869	399.45	362236.8642	2007236.25	1644999.39	454.12%	-2,513	-0.13%
ITC 	7300	190.5353	280.7	1390907.8869	2049110.00	658202.11	47.32%	2,920	0.14%
HCLTECH 	2000	964.1588	1154.7	1928317.6991	2309400.00	381082.30	19.76%	-27,200	-1.15%
PGHL 	130	3302.9796	6200.0	429387.349	806000.00	376612.65	87.71%	-130	-0.02%
IEX 	3500	19.809	122.38	69331.53	428330.00	358998.47	517.80%	-5,915	-1.36%
SANOFICONR 	80	911.5145	4765.7	72921.1606	381256.00	308334.84	422.83%	5,048	1.34%
SHAILY 	220	2178.8959	3062.9	479357.106	673838.00	194480.89	40.57%	-990	-0.15%
CRAFTSMAN 	40	6043.744	9065.0	241749.7615	362600.00	120850.24	49.99%	-4,360	-1.19%
LUMAXIND 	100	4239.3636	5348.5	423936.3581	534850.00	110913.64	26.16%	5,300	1.00%
TATACONSUM 	275	779.3832	1130.9	214330.3925	310997.50	96667.11	45.10%	-5,060	-1.60%
ICRA 	40	2704.6378	5069.5	108185.5118	202780.00	94594.49	87.44%	340	0.17%
ELGIEQUIP 	575	513.8147	610.3	295443.4505	350922.50	55479.05	18.78%	-6,814	-1.90%
MARUTI 	50	12308.7446	13050.0	615437.2308	652500.00	37062.77	6.02%	-700	-0.11%
ICICIAMC 	70	2939.7627	3249.0	205783.388	227430.00	21646.61	10.52%	-4,564	-1.97%
SCHAEFFLER 	100	3937.1723	4035.3	393717.2308	403530.00	9812.77	2.49%	3,790	0.95%
KWIL 	1500	28.2305	34.51	42345.6794	51765.00	9419.32	22.24%	-1,665	-3.12%
NTPC 	500	351.0446	361.65	175522.285	180825.00	5302.71	3.02%	-2,375	-1.30%
BEL 	1025	405.3706	408.2	415504.815	418405.00	2900.18	0.70%	-1,743	-0.41%
DRREDDY 	150	1269.7038	1278.2	190455.568	191730.00	1274.43	0.67%	1,605	0.84%
CAMS 	300	762.2982	761.0	228689.4495	228300.00	-389.45	-0.17%	555	0.24%
NTPCGREEN 	1000	104.6362	100.86	104636.2328	100860.00	-3776.23	-3.61%	20	0.02%
BHEL 	375	404.2405	386.95	151590.2	145106.25	-6483.95	-4.28%	-844	-0.57%
AFFLE 	200	1509.4113	1476.1	301882.2688	295220.00	-6662.27	-2.21%	-1,200	-0.40%
PROTEAN 	275	643.8264	616.6	177052.26	169565.00	-7487.26	-4.23%	-2,860	-1.66%
SHREECEM 	7	25524.0986	24085.0	178668.69	168595.00	-10073.69	-5.64%	-2,800	-1.63%
UNITDSPR 	250	1289.9482	1246.7	322487.053	311675.00	-10812.05	-3.35%	-750	-0.24%
LT 	140	4041.9721	3953.2	565876.1	553448.00	-12428.10	-2.20%	1,554	0.28%
INDGN 	350	562.4149	523.0	196845.2312	183050.00	-13795.23	-7.01%	1,733	0.96%
MSUMI 	4000	45.2409	38.58	180963.6774	154320.00	-26643.68	-14.72%	1,120	0.73%
CAMPUS 	600	298.342	243.1	179005.2039	145860.00	-33145.20	-18.52%	-4,830	-3.21%
ORIENTELEC 	800	231.8725	178.38	185497.9767	142704.00	-42793.98	-23.07%	-608	-0.42%
RHIM 	325	534.6116	399.6	173748.755	129870.00	-43878.75	-25.25%	-504	-0.39%
HDBFS 	450	742.3303	641.95	334048.6552	288877.50	-45171.16	-13.52%	-1,125	-0.39%
HINDUNILVR 	180	2387.1181	2121.5	429681.2506	381870.00	-47811.25	-11.13%	7,578	2.02%
HDFCBANK 	2100	770.8606	747.05	1618807.1919	1568805.00	-50002.19	-3.09%	-15,015	-0.95%
RELIANCE 	520	1413.0115	1291.0	734765.9852	671320.00	-63445.99	-8.63%	-6,604	-0.97%
SUNDARMFIN 	100	4882.3009	4105.4	488230.0898	410540.00	-77690.09	-15.91%	230	0.06%
ITCHOTELS 	1000	247.8037	153.18	247803.6971	153180.00	-94623.70	-38.18%	-2,150	-1.38%
DABUR 	920	575.7613	424.15	529700.4005	390218.00	-139482.40	-26.33%	-460	-0.12%
SANOFI 	80	6130.1152	3186.4	490409.2143	254912.00	-235497.21	-48.02%	552	0.22%
LTM 	280	5571.5356	4027.2	1560029.9729	1127616.00	-432413.97	-27.72%	-11,340	-1.00%
TNPL 	8000	225.1001	144.29	1800801.0408	1154320.00	-646481.04	-35.90%	-10,240	-0.88%
Total	-	-	-	3,69,23,820	5,59,68,262	19044442	51.58%	-310693	-0.55%
